State,2017,2018,2019,2020,Percent change 2018,Percent change 2019,Percent change 2020
Alabama,197566622,200800889,203383898,196906061,1.6,1.3,-3.2
Alaska,54129532,53249592,53336499,50160992,-1.6,0.2,-6
Arizona,302455379,313618734,323894348,320550614,3.7,3.3,-1
Arkansas,113885171,115937586,116790945,114943471,1.8,0.7,-1.6
California,2541769255,2643576256,2739343439,2663665940,4,3.6,-2.8
Colorado,329960619,342535898,356773592,346011260,3.8,4.2,-3
Connecticut,247358533,249998102,251495134,235888558,1.1,0.6,-6.2
Delaware,60801235,61735133,64262426,62056233,1.5,4.1,-3.4
District of Columbia,120898866,123836129,124990299,122342074,2.4,0.9,-2.1
Florida,912966152,943463397,971619168,944000797,3.3,3,-2.8
Georgia,524874691,539300332,558277256,536693026,2.7,3.5,-3.9
Hawaii,78941617,79854746,79175387,70625173,1.2,-0.9,-10.8
Idaho,66980520,71075376,73911957,73655414,6.1,4,-0.3
Illinois,755594685,774065036,777653833,737643578,2.4,0.5,-5.1
Indiana,325841725,337149634,338350092,329863318,3.5,0.4,-2.5
Iowa,170182727,172929375,172905960,169420257,1.6,0,-2
Kansas,155407884,158906333,160182322,156770113,2.3,0.8,-2.1
Kentucky,185866534,188083579,191355498,185535131,1.2,1.7,-3
Louisiana,233774444,236265635,235947575,222296814,1.1,-0.1,-5.8
Maine,56662582,58178846,59433938,58757344,2.7,2.2,-1.1
Maryland,366680527,368643905,369623938,353052548,0.5,0.3,-4.5
Massachusetts,484413790,502954287,517727089,498576980,3.8,2.9,-3.7
Michigan,457764899,467830448,467300231,445682592,2.2,-0.1,-4.6
Minnesota,328696104,338524512,340130407,326635647,3,0.5,-4
Mississippi,101642069,101131542,101525138,99667462,-0.5,0.4,-1.8
Missouri,282174182,285995091,290842031,282654205,1.4,1.7,-2.8
Montana,45910543,46614104,46788047,46158111,1.5,0.4,-1.3
Nebraska,114480884,116904392,118286500,117664915,2.1,1.2,-0.5
Nevada,145699910,150711635,156828838,145219085,3.4,4.1,-7.4
New Jersey,537045071,550064519,561842799,535794851,2.4,2.1,-4.6
New Mexico,89032024,90999424,94872250,92696527,2.2,4.3,-2.3
New York,1419583553,1457995753,1494736441,1420141014,2.7,2.5,-5
North Carolina,496726481,504049542,514624898,499517501,1.5,2.1,-2.9
North Dakota,54083132,55883984,56246952,54581101,3.3,0.6,-3
Ohio,590738856,598917108,611145828,589897695,1.4,2,-3.5
Oklahoma,194255955,197358323,200710889,190893771,1.6,1.7,-4.9
Oregon,205744760,215208831,219458180,212849691,4.6,2,-3
Pennsylvania,694236462,703945979,716173363,683773852,1.4,1.7,-4.5
Rhode Island,52608786,52493838,53225004,51415140,-0.2,1.4,-3.4
South Carolina,202494271,207772651,212482841,208480455,2.6,2.3,-1.9
South Dakota,45878189,46454083,46640966,46682738,1.3,0.4,0.1
Tennessee,318412000,322648479,329111630,316325345,1.3,2,-3.9
Texas,1664218546,1729286556,1785317908,1734321101,3.9,3.2,-2.9
Utah,154367264,163326980,171134713,171370106,5.8,4.8,0.1
Vermont,29500860,29616357,29902839,28648501,0.4,1,-4.2
Virginia,466724807,477819754,487251631,473817451,2.4,2,-2.8
Washington,482824072,515629948,535980514,532861932,6.8,3.9,-0.6
West Virginia,71459391,73114192,72542927,69711564,2.3,-0.8,-3.9
Wisconsin,292311180,299416044,303891178,291715832,2.4,1.5,-4
Wyoming,37429098,37987910,38628445,36256668,1.5,1.7,-6.1